Run,Brand,Compound,Dimensions,Item,DataOrigin,RimWidth
2,Hoosier,R20,16x7.5-10,item 43075,TTC Round 9,7 inch
4,Hoosier,R20,16x7.5-10,item 43075,TTC Round 9,7 inch
5,Hoosier,R20,16x7.5-10,item 43075,TTC Round 9,7 inch
6,Hoosier,R20,16x7.5-10,item 43075,TTC Round 9,7 inch
7,Hoosier,R20,16x7.5-10,item 43075,TTC Round 9,8 inch
8,Hoosier,R20,16x7.5-10,item 43075,TTC Round 9,8 inch
9,Hoosier,R20,16x7.5-10,item 43075,TTC Round 9,8 inch
10,Hoosier,R20,16x6.0-10,item 43070,TTC Round 9,6 inch
11,Hoosier,R20,16x6.0-10,item 43070,TTC Round 9,6 inch
12,Hoosier,R20,16x6.0-10,item 43070,TTC Round 9,6 inch
13,Hoosier,R20,16x6.0-10,item 43070,TTC Round 9,7 inch
14,Hoosier,R20,16x6.0-10,item 43070,TTC Round 9,7 inch
15,Hoosier,R20,16x6.0-10,item 43070,TTC Round 9,7 inch
16,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,7 inch
17,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,7 inch
18,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,7 inch
19,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,8 inch
20,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,8 inch
21,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,8 inch
22,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,7 inch
23,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,7 inch
24,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,7 inch
25,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,8 inch
27,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,6 inch
28,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,6 inch
29,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,6 inch
30,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,7 inch
31,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,7 inch
32,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,7 inch
33,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,6 inch
34,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,6 inch
35,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,6 inch
36,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,7 inch
37,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,7 inch
38,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,7 inch
39,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,6 inch
40,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,6 inch
41,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,6 inch
42,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,7 inch
43,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,7 inch
44,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,7 inch
46,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,8 inch
49,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,8 inch
50,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,7 inch
51,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,7 inch
52,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,7 inch
53,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,8 inch
54,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,8 inch
55,Hoosier,R20,20.5x7.0-13,item 43164,TTC Round 9,8 inch
56,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,7 inch
57,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,7 inch
58,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,7 inch
59,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,8 inch
60,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,8 inch
61,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 9,8 inch
62,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,6 inch
63,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,6 inch
64,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,6 inch
65,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,7 inch
66,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,7 inch
67,MRF,ZTD1,18x6.0-10,FSAE,TTC Round 9,7 inch
68,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,6 inch
69,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,6 inch
70,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,6 inch
71,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,7 inch
72,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,7 inch
73,Hoosier,R20,18x6.0-10,item 43100,TTC Round 9,7 inch
74,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,6 inch
75,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,6 inch
76,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,6 inch
77,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,7 inch
78,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,7 inch
79,Goodyear,FSAE,18x6.5-10,D0571,TTC Round 9,7 inch
