Run,Brand,Compound,Dimensions,Item,DataOrigin,Run,RimWidth
1,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,Run 1,7 inch
2,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,Run 2,7 inch
4,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,Run 4,7 inch
5,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,Run 5,8 inch
6,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,Run 6,8 inch
7,Hoosier,R25B,16x7.5-10,item 43075,TTC Round 8,Run 7,8 inch
8,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,Run 8,6 inch
9,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,Run 9,6 inch
10,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,Run 10,6 inch
11,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,Run 11,7 inch
12,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,Run 12,7 inch
13,Hoosier,R25B,16x6.0-10,item 43070,TTC Round 8,Run 13,7 inch
14,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,Run 14,8 inch
15,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,Run 15,8 inch
16,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,Run 16,8 inch
17,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,Run 17,7 inch
18,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,Run 18,7 inch
19,Hoosier,LCO,16x7.5-10,item 43075,TTC Round 8,Run 19,7 inch
20,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,Run 20,6 inch
21,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,Run 21,6 inch
22,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,Run 22,6 inch
23,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,Run 23,7 inch
24,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,Run 24,7 inch
25,Hoosier,LCO,16x6.0-10,item 43070,TTC Round 8,Run 25,7 inch
30,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,Run 30,7 inch
31,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,Run 31,7 inch
32,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,Run 32,7 inch
35,Continental,C19,205/470R13,item 43329,TTC Round 8,Run 35,7 inch
36,Continental,C19,205/470R13,item 43329,TTC Round 8,Run 36,7 inch
37,Continental,C19,205/470R13,item 43329,TTC Round 8,Run 37,7 inch
41,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,Run 41,8 inch
42,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,Run 42,8 inch
44,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,Run 44,8 inch
46,Goodyear,FSAE,20x7.0-13,D2704,TTC Round 8,Run 46,7 inch
